iso-639-3	name	value	description	latitude	longitude	family
pui	Puinave	D	none	3.92974	-67.6886	Puinave
pbb	Páez	B	auxiliary	2.61516	-76.31254	Paez
rkb	Rikbaktsa	?	Not known	-11.18865	-58.19424	Nuclear-Macro-Je
sae	Sabanê	?	Not known	-12.98572	-60.33498	Nambiquaran
skf	Sakirabia	D	none	-13.05395	-62.09274	Tupian
qxl	Salasaca Highland Quichua	A	verbal morphology	-1.35447	-78.39531	Quechuan
qvs	San Martín Quechua	D	none	-6.9582	-76.6608	Quechuan
qus	Santiago del Estero Quichua	D	none	-27.82096	-63.24657	Quechuan
mav	Sateré-Mawé	D	none	-3.63897	-56.87489	Tupian
cbt	Shawi	D	none	-5.63764	-76.82525	Cahuapanan
shp	Shipibo-Conibo	A	verbal morphology	-7.17105	-74.82192	Pano-Tacanan
jiv	Shuar	?	Not known	-3.45136	-78.18923	Chicham
quh	South Bolivian Quechua	D	none	-20.920095	-66.333145	Quechuan
qup	Southern Pastaza Quechua	D	none	-3.32733	-76.52697	Quechuan
tpj	Tapieté	D	none	-21.4168866667	-62.68397	Tupian
tae	Tariana	A	verbal morphology	0.440205	-68.904165	Arawakan
teh	Tehuelche	D	none	-47.57963	-68.32346	Chonan
quw	Tena Lowland Quichua	C	both	-0.76271	-77.54039	Quechuan
tri	Trió	A	verbal morphology	2.53616	-55.759935	Cariban
tpy	Trumai	D	none	-11.81195	-53.5717	Trumai
cof	Tsafiki	D	none	-0.21181	-79.23468	Barbacoan
ura	Urarina	C	both	-4.44006	-75.42107	Urarina
ure	Uru	D	none	-16.72547	-68.97119	Uru-Chipaya
wba	Warao	A	verbal morphology	7.50850666667	-59.3527633333	Warao
pav	Wari	A	verbal morphology	-10.69948	-64.56152	Chapacuran
wyr	Wayoró	D	none	-12.69447	-61.30635	Tupian
mtp	Wichí Lhamtés Nocten	D	none	-21.987995	-63.59711	Matacoan
xav	Xavánte	D	none	-14.30173	-52.43669	Nuclear-Macro-Je
yaa	Yaminahua	D	none	-9.88459666667	-71.5964333333	Pano-Tacanan
ame	Yanesha'	?	Not known	-10.54539	-75.31497	Arawakan
yuz	Yuracaré	A	verbal morphology	-16.74788	-65.12241	Yurakare
